City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
177,Ostersund,SE,2022-01-23 18:27:26,63.1792,14.6357,41.45,60,73,6.91,broken clouds
178,Hasaki,JP,2022-01-23 18:27:26,35.7333,140.8333,39.6,86,100,10.85,overcast clouds
179,Rocha,UY,2022-01-23 18:27:27,-34.4833,-54.3333,79.5,82,100,8.41,overcast clouds
180,Osakarovka,KZ,2022-01-23 18:27:27,50.565,72.5692,-0.58,92,100,6.78,overcast clouds
181,Klaksvik,FO,2022-01-23 18:27:27,62.2266,-6.589,41.92,94,100,27.27,overcast clouds
182,Mahibadhoo,MV,2022-01-23 18:27:27,3.7833,72.9667,81.45,70,94,10.36,overcast clouds
183,Windhoek,NA,2022-01-23 18:27:28,-22.5594,17.0832,76.1,33,94,8.05,overcast clouds
184,Hami,CN,2022-01-23 18:27:28,42.8,93.45,24.21,55,4,4.12,clear sky
185,Los Llanos De Aridane,ES,2022-01-23 18:28:28,28.6585,-17.9182,65.95,95,75,1.99,broken clouds
186,Owando,CG,2022-01-23 18:28:29,-0.4819,15.8999,84.31,43,100,2.37,overcast clouds
187,Ardakan,IR,2022-01-23 18:28:29,32.31,54.0175,39.58,19,0,2.08,clear sky
188,Chingirlau,KZ,2022-01-23 18:28:29,51.095,54.0814,7.81,90,97,10.36,overcast clouds
189,Ketchikan,US,2022-01-23 18:28:29,55.3422,-131.6461,44.58,100,100,12.66,light rain
190,Kaitangata,NZ,2022-01-23 18:28:30,-46.2817,169.8464,53.92,73,89,1.77,overcast clouds
191,Saint-Philippe,RE,2022-01-23 18:28:30,-21.3585,55.7679,81.99,83,73,10.56,broken clouds
192,Nizwa,OM,2022-01-23 18:28:30,22.9333,57.5333,64.31,33,0,2.15,clear sky
193,Ostrovnoy,RU,2022-01-23 18:28:31,68.0531,39.5131,25.02,91,98,26.37,overcast clouds
194,Ekuvukeni,ZA,2022-01-23 18:28:31,-28.4675,30.1551,61.79,79,3,5.95,clear sky
195,Beruwala,LK,2022-01-23 18:28:31,6.4788,79.9828,76.21,78,84,2.19,broken clouds
196,Bardiyah,LY,2022-01-23 18:28:32,31.7561,25.0865,51.31,53,97,19.84,overcast clouds
197,Bud,US,2022-01-23 18:28:32,39.447,-86.1758,36.25,76,99,17.52,overcast clouds
198,Fukue,JP,2022-01-23 18:28:32,32.6881,128.8419,54.75,72,100,32.41,overcast clouds
199,Bemidji,US,2022-01-23 18:28:33,47.4736,-94.8803,1.18,76,75,3.44,broken clouds
200,Santiago Del Estero,AR,2022-01-23 18:28:33,-27.7951,-64.2615,90.07,51,85,11.5,overcast clouds
201,Craig,US,2022-01-23 18:25:26,40.5153,-107.5464,18.59,78,0,0.0,clear sky
202,Port Elizabeth,ZA,2022-01-23 18:28:33,-33.918,25.5701,79.11,77,0,10.36,clear sky
203,Quatre Cocos,MU,2022-01-23 18:28:34,-20.2078,57.7625,81.09,79,87,12.48,overcast clouds
204,Independencia,BR,2022-01-23 18:28:34,-5.3964,-40.3086,93.54,29,59,8.99,broken clouds
205,Polunochnoye,RU,2022-01-23 18:28:34,60.8697,60.4153,4.82,96,75,2.98,broken clouds
206,Lagos,NG,2022-01-23 18:27:24,6.5833,3.75,84.52,68,14,7.11,few clouds
207,Yen Bai,VN,2022-01-23 18:28:34,21.7,104.8667,66.52,92,41,0.94,scattered clouds
208,Castro,BR,2022-01-23 18:28:35,-24.7911,-50.0119,87.66,39,0,3.83,clear sky
209,Ojinaga,MX,2022-01-23 18:28:35,29.5667,-104.4167,53.56,53,0,8.05,clear sky
210,Porto Novo,BJ,2022-01-23 18:28:35,6.4965,2.6036,82.22,63,26,8.5,scattered clouds
211,Iqaluit,CA,2022-01-23 18:28:36,63.7506,-68.5145,-7.87,64,100,5.75,light snow
212,Maceio,BR,2022-01-23 18:26:36,-9.6658,-35.7353,85.44,70,75,17.27,thunderstorm
213,Tuktoyaktuk,CA,2022-01-23 18:28:36,69.4541,-133.0374,3.2,85,100,14.97,light snow
214,Jasper,US,2022-01-23 18:28:37,37.2001,-94.3502,52.05,49,0,3.0,clear sky
215,Takoradi,GH,2022-01-23 18:28:37,4.8845,-1.7554,80.92,75,6,8.61,clear sky
216,Clyde River,CA,2022-01-23 18:28:37,70.4692,-68.5914,-10.97,77,100,25.32,light snow
217,Laguna,US,2022-01-23 18:28:37,38.421,-121.4238,63.23,74,0,1.99,clear sky
218,Octeville,FR,2022-01-23 18:28:38,49.6261,-1.6435,40.78,87,100,11.5,overcast clouds
219,Saldanha,ZA,2022-01-23 18:28:38,-33.0117,17.9442,69.85,96,49,12.17,scattered clouds
220,Roebourne,AU,2022-01-23 18:28:38,-20.7833,117.1333,83.25,71,100,15.48,light rain
221,Tiksi,RU,2022-01-23 18:28:39,71.6872,128.8694,-7.28,98,100,5.41,overcast clouds
222,Ilulissat,GL,2022-01-23 18:28:39,69.2167,-51.1,10.42,48,100,10.36,overcast clouds
223,Chekhov,RU,2022-01-23 18:28:39,55.1431,37.4711,3.36,100,89,3.15,light snow
224,Lima,PE,2022-01-23 18:28:39,-12.0432,-77.0282,77.25,61,0,6.91,clear sky
225,Chokurdakh,RU,2022-01-23 18:28:40,70.6333,147.9167,-23.55,100,98,6.46,overcast clouds
226,Beyneu,KZ,2022-01-23 18:28:40,45.3167,55.2,27.93,85,79,18.21,broken clouds
227,High Level,CA,2022-01-23 18:28:40,58.5169,-117.136,3.31,92,100,4.61,light snow
228,Zhigansk,RU,2022-01-23 18:28:41,66.7697,123.3711,-9.18,98,100,13.31,light snow
229,Puerto Colombia,CO,2022-01-23 18:28:41,10.9878,-74.9547,86.09,72,91,22.53,overcast clouds
230,Leninsk,RU,2022-01-23 18:28:41,48.7119,45.1994,26.46,87,100,18.23,overcast clouds
231,Menongue,AO,2022-01-23 18:29:41,-14.6585,17.691,70.84,61,87,5.03,overcast clouds
232,Nome,US,2022-01-23 18:29:42,64.5011,-165.4064,8.67,73,0,9.22,clear sky
233,Am Timan,TD,2022-01-23 18:29:42,11.0297,20.2827,80.71,17,10,4.23,clear sky
234,Chany,RU,2022-01-23 18:29:42,55.3121,76.7647,-10.07,100,44,5.86,scattered clouds
235,Port Hedland,AU,2022-01-23 18:29:43,-20.3167,118.5667,84.25,84,97,6.91,overcast clouds
236,Chamonix-Mont-Blanc,FR,2022-01-23 18:29:43,45.9238,6.8693,35.49,89,11,4.68,few clouds
237,Saint-Joseph,RE,2022-01-23 18:29:43,-21.3667,55.6167,80.98,81,63,11.92,broken clouds
238,Tiznit,MA,2022-01-23 18:29:43,29.5833,-9.5,61.77,49,30,7.11,scattered clouds
239,Pangnirtung,CA,2022-01-23 18:29:44,66.1451,-65.7125,-0.4,55,75,8.05,broken clouds
240,Fenelon Falls,CA,2022-01-23 18:29:44,44.5334,-78.7496,15.03,72,54,9.48,broken clouds
241,Sao Joao Da Barra,BR,2022-01-23 18:29:44,-21.6403,-41.0511,86.09,75,24,12.28,few clouds
242,Nizhniy Tsasuchey,RU,2022-01-23 18:29:45,50.5167,115.1333,-1.01,99,100,2.66,overcast clouds
243,Storebo,NO,2022-01-23 18:29:45,60.0948,5.2271,45.77,97,96,8.99,overcast clouds
244,Tilichiki,RU,2022-01-23 18:29:45,60.4667,166.1,-21.1,87,37,7.38,scattered clouds
245,Touros,BR,2022-01-23 18:28:52,-5.1989,-35.4608,88.7,61,1,10.83,clear sky
246,Sarakhs,IR,2022-01-23 18:29:46,36.5449,61.1577,33.94,60,0,2.3,clear sky
247,Fairbanks,US,2022-01-23 18:29:46,64.8378,-147.7164,11.3,85,75,0.0,broken clouds
248,Izumo,JP,2022-01-23 18:29:46,35.3667,132.7667,46.35,83,100,16.89,light rain
249,Picayune,US,2022-01-23 18:29:47,30.5255,-89.6795,50.88,50,3,5.08,clear sky
250,Mahebourg,MU,2022-01-23 18:29:47,-20.4081,57.7,81.25,83,40,8.05,scattered clouds
251,Nanchang,CN,2022-01-23 18:29:47,28.6833,115.8833,46.87,86,100,8.03,overcast clouds
252,Cabra,ES,2022-01-23 18:29:47,37.4725,-4.4421,52.66,62,96,2.01,overcast clouds
253,Richards Bay,ZA,2022-01-23 18:28:01,-28.783,32.0377,71.42,78,34,5.3,scattered clouds
254,Maningrida,AU,2022-01-23 18:29:48,-12.0667,134.2667,77.65,91,100,5.61,overcast clouds
255,Hervey Bay,AU,2022-01-23 18:29:48,-25.2986,152.8535,69.03,89,41,4.0,scattered clouds
256,Lambarene,GA,2022-01-23 18:29:48,-0.7001,10.2406,81.75,72,62,1.92,broken clouds
257,Coihaique,CL,2022-01-23 18:27:54,-45.5752,-72.0662,60.75,55,75,9.22,broken clouds
258,Bowen,AU,2022-01-23 18:29:49,-20.0167,148.2333,70.02,70,73,8.14,broken clouds
259,Qaqortoq,GL,2022-01-23 18:29:49,60.7167,-46.0333,19.9,80,97,10.76,overcast clouds
